comment;CmejorableRetroalimentacionCfallasFuncionamiento;CmejorableRetroalimentacionCorientacionInsuficiente;condicionesIniciales;CresolucionProblemasCcomparacionConSalidasEsperadas;CresolucionProblemasCcorregirErrores;CresolucionProblemasCespecificacionesRetroalimentacion;mejorableRetroalimentacion;resolucionProblemas;senalarErrores;calificacion
Mostraba especificamente para que pruebas el codigo arrojaba error.;0;0;0;0;0;0;0;0;1;De acuerdo
Mostraba exactamente el lugar en el cual se encontraba el problema.;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Mostraba los errores claramente y mostraba lo que se esperaba y ademas ofrecia la herramienta de python tutor para mirar paso a paso .;0;0;0;1;0;1;0;1;1;De acuerdo
Mostraba los errores de salida existentes en el codigo ademas de que usa el sistema de python tutor para ver en que punto falla la ejecucion;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Muchas veces los codigos de error son poco claros o directamente aparece un runtime en vez de marcar la linea del error. Siendo que a veces no eran programas con ciclos.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces los errores no se identifican tan facil solo viendo la salida esperada y la salida del programa, hay errores como  Time limit exeeded  o  Runtime error  que no muestran lo que se pudo imprimir antes del error. El problema real llega cuando hay un  Runtime error  y se usan ciclos o recursion, puesto que muestra la linea en donde se encuentra el error, pero no el caso, haciendo mas largo el proceso de correccion;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchas veces no era muy claro cual era realmente el error;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces no me deja ver un ejemplo de en que estoy fallando lo que dificulta encontrar el error;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces no pasaba eso, ya que lanzaba el error pero uno de pronto no sabia como hacerlo mas eficiente.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchas veces no se retroalimentan los errores en los codigos, y en algunos casos solo por espacios da todo el punto incorrecto;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchos de los algoritmos que disene se pudieron realizar gracias a la realimentacion de UNcode;0;0;0;0;0;0;0;1;0;De acuerdo
Muestra especificamente los errores tanto como los ejercicios aceptados;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
No entrega una descripcion clara del problema, es mas util corregir los errores por Colab;0;1;0;0;0;0;1;0;0;Totalmente en desacuerdo
No es muy entendible para alguien que apenas esta aprendiendo a porgramar por primera vez;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
No especifica directamente el error, haciendo dificil saber concretamente la parte que esta mal a menos que sea un error realmente notable (si el error es, por ejemplo, un espacio de mas al final de una linea, puede ser muy dificil de encontrar);0;1;0;0;0;0;1;0;0;De acuerdo
No me sirvio como guia ya que  era enredado para mi, ver las sugerencias;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
No muy clara en ciertas ocasiones, muy ambigua.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
No todas las actividades tenian retroalimentacion;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Nos ayudaba mediante los ejemplos de correccion a ver la parte que teniamos mal en el codigo;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Nos muestra en porcentaje de casos aprobados y en muchos casos nos permite ver los casos de prueba para identificar en que estamos fallando.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Nos proporcionaba las salidas correctas y las que no correspondian o estaban mal;0;0;0;0;0;0;0;0;1;Algo de acuerdo
Nunca me sirvio ninguna de las recomendaciones que me otorgaba la plataforma, sobre todo en casos en los que el codigo corria a la perfeccion en otras plataformas y en UNCode fallaba;0;1;0;0;0;0;1;0;0;En desacuerdo
Ofrece buenas alternativas para poder observar la ejecucion de codigo paso a paso, asi como los casos de prueba en donde fallo el codigo lo cual facilita la busqueda del error;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Para algunos problemas UNCode no entregaba el expected output vs el output generado por nosotros los estudiantes, en esos caso no era facil saber en donde fallaba el codigo;1;0;0;1;0;0;1;1;1;Algo de acuerdo
Permite conocer los aspecto a modificar de buena forma;0;0;0;0;1;0;0;1;0;De acuerdo
Permite corregir las areas del codigo con errores, siguiendo el proceso de las variables;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
Permite ver con exactitud donde estan los errores y los hace mas faciles de corregir;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Permitia identificar la seccion especifica del programa para corregir;0;0;0;0;0;0;0;0;1;NO CALIFICADO
Pienso que tal vez deberia ser un poco mas explicito y especifico a la hora de encontrar un error, de igual forma adjuntar un par mas de ejemplos, no obstante, asi como esta se entiende perfectamente el tipo de error y una vaga idea de como resolverlo.;0;1;0;0;0;0;1;0;0;De acuerdo
Poder ver errores en los programas enviados facilita la identificacion de problemas y la solucion de las mismas;0;0;0;0;1;0;0;1;1;NO CALIFICADO
Poder visualizar el momento en que el codigo fallo permite editar los codigos con mayor facilidad y seguridad. Siendo un principiante en el tema de la programacion esto fue de gran ayuda.;0;0;0;0;1;1;0;1;0;Totalmente de acuerdo
Podia encontrar los errores rapidamente y solucionarlos.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Por que te compara la salida esperada con la que tu das y eso lo hace mas facil;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque UnCode me permitia ver las salidas que debia tener el programa y basandome en estas salidas podia corregir los errores que haya cometido en el programa;0;0;0;1;1;0;0;1;0;De acuerdo
Porque Uncode ofrece herramientas utiles para reconocer los errores;0;0;0;0;0;0;0;0;1;De acuerdo
Porque a partir de las entradas que Uncode da al programa y las respuestas que espera que salgan, permite intuir facilmente los problemas que tiene el codigo;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque al esta plataforma permitir mostrar el desarrollo del programa linea por linea,  promueve a que el estudiante analice cada linea de codigo para adaptarla a los resultados que se le exigen;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Porque de esta forma podia ver las fallas que experimentaba mi programa en ciertos casos, permitiendo que buscara nuevas opciones para este y asi llegar a soluciones mas optimas.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque el poder ver el paso a paso y ver como cambian las variables, ayuda a ver en que parte el codigo no hace lo que uno espera;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Porque especificaba la respuesta correcta y las similitudes con la respuesta que nuestro codigo daba.;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque informaba que tipo de error habia en el codigo y en que linea, ademas, informaba sobre errores logicos como bucles infinitos;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Porque la pagina estaba habilitada para mostrar donde estaba mal, facilitando la revision y posterior correccion. Por otra parte decir que solo esta mal sin la razon, puede que no sea de mucha utilidad en el aprendizaje.;0;1;0;0;1;0;1;1;1;Totalmente de acuerdo
Porque me era muy util saber que era lo que estaba exactamente mal en los casos para poder corregir errores.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque me permitia comparar lo que hacia mi programa y lo que se buscaba;0;0;0;1;0;0;0;1;0;De acuerdo
Porque muchas veces no se tenia la certeza total de que estaba mal, al ver lo que se esperaba uno podia realizar una evaluacion y realizar una correcta correccion.;0;0;0;1;1;0;0;1;0;De acuerdo
Porque muestra en donde esta el error para que uno lo pueda corregir;0;0;0;0;1;0;0;1;1;De acuerdo
Porque muestra los errores explicitos.;0;0;0;0;0;0;0;0;1;De acuerdo
Porque no es preciso con los errores, dice donde es, pero no es efectivo con el tipo de error;0;1;0;0;0;0;1;0;0;En desacuerdo
Porque permite la visualizacion automatica de los errores en el codigo, y hace que la evaluacion de casos a resolver sea mas facil;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Porque permite ver que resultados de los casos de prueba  no coinciden con la salida del programa, y se puede hacer un seguimiento a esos casos para ver en que momento del proceso la variable empieza a alejarse de la respuesta esperada;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Porque permitia analizar las diferencias entre las respuestas obtenidas y las esperadas, ya fuesen de formato, de redondeo, por ciertas mayusculas o por errores en la ejecucion, los que se podian inferir con mayor facilidad.;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Porque permitia ver que salidas daba el programa frente a ciertas entradas en las cuales habia un error, lo cual, con un poco de intuicion y conocimiento del codigo se podia arreglar para que el mismo quedara sin errores algunos.;0;0;0;1;1;0;0;1;0;Totalmente de acuerdo
Porque puedo identificar en que casos mi programa falla para asi buscar la manera de corregir las fallas;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque se podia observar cuales eran los errores comparado con los casos de prueba y ademas de los errores de logica y de sintaxis;0;0;0;1;0;0;0;1;1;Totalmente de acuerdo
Porque se tiene la opcion de ver como se desarrolla el codigo y corregir los errores;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque si estaba mal nos daba pistas de lo que estaba mal y podiamos arreglar;0;0;0;0;1;1;0;1;0;De acuerdo
Porque te decia aveces los errores no quedaban claro en donde estaban;0;1;0;0;0;0;1;0;1;Algo de acuerdo
Presentaba paso a paso lo que el codigo estaba ejecutando y eso me permitia a mi encontrar mas rapidamente el error en determinada parte del codigo;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Presentar la respuesta correcta y compararla con la erronea hace que nos demos cuenta de que fallo en nuestro programa.;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Pues muestra como es la salida esperada y asi comparar con la nuestra;0;0;0;1;0;0;0;1;0;Algo de acuerdo
Pues se podia ver el paso a paso como funcionaba el codigo en herramientas;0;0;0;0;0;1;0;1;0;De acuerdo
Realmente hay claridad dependiendo de las condiciones puestas por el profesor, aveces no fueron muy claras;0;0;1;0;0;0;0;0;0;Algo de acuerdo
Retroalimentacion muy general, sin ofrecer ayuda;0;1;0;0;0;0;1;0;0;En desacuerdo
Retroalimentacion? Los errores los encontraba yo mismo o si no moria;0;1;0;0;0;0;1;0;0;De acuerdo
SABES EN QUE TE EQUIVOCASTE;0;0;0;0;0;0;0;0;1;De acuerdo
Sabia exactamente y en tiempo real donde tenia errores mi codigo sin tener que buscarlo en codigos en ocasiones muy muy largos.;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Sabia que tipo de error era y me daba una idea de como corregirlo;0;0;0;0;1;1;0;1;0;De acuerdo
Se dice cuantos casos de prueba se pasaron y cuantos no y, dependiendo del profesor, se permite la visualizacion de los inputs usados, el output esperado y el que el programa dio.;0;0;0;1;0;0;0;1;0;NO CALIFICADO
Se especificaba el tipo de error que se habia cometido;0;0;0;0;0;1;0;1;0;De acuerdo
Se sabia donde estaba el error;0;0;0;0;0;0;0;0;1;Totalmente en desacuerdo
Seria util poder saber cual es el limite de tiempo para que una funcion se ejecute para tener cuidado con las repeticion. Por lo demas esta bien;0;0;1;0;0;0;0;0;0;Algo de acuerdo
Si ayudaba a darse cuenta de que errores habia pero a veces no era muy claro;0;1;0;0;0;0;1;0;1;Algo de acuerdo
Si ayudo totalmente, excepto en algunos casos que eran muy grandes y no se podian interpretar, la recomendacion que doy es que pueden ensenar a los estudiantes a usar diffchecker para estos casos ya que Nicolas no a menciono pero personalmente no supe como usar esta herramienta;0;1;1;0;0;0;1;0;0;De acuerdo
Si bien mencionaba los errores graves, a veces era de utilidad ver que falta/sobra un parentesis o una palabra esta mal escrita;0;0;0;0;0;1;0;1;1;De acuerdo
Si bien muestra un paso a paso del codigo, y presenta unas herramientas para verificar el sintaxis del codigo, estos a veces tardaban demasiado o no funcionaban;1;0;0;0;0;0;1;0;0;Algo de acuerdo
Si bien permite ver el valor esperado de las respuestas, para casos especificos la informacion no se desglosaba para otros, dando una incertidumbre como resultado. Igualmente no habia guianza ni acompanamiento para la resolucion de los ejercicios mas complejos.;0;1;0;1;0;0;1;1;0;Algo de acuerdo
Si daba los indicios de porque mi codigo no funcionaba;0;0;0;0;0;1;0;1;0;De acuerdo
Si es bastante ya que la misma plataforma tiene un apartado donde explica que significa cada mensaje que arroja al hacer funcionar el programa, sin embargo en mi caso era complicado identificar inmediatamente el problema especifico;0;1;0;0;0;1;1;1;0;De acuerdo
Si fue muy util y tambien ayuda la herramienta the check your code;0;0;0;0;0;0;0;0;1;De acuerdo
Si habia un error en un caso de prueba, UNCode permitia ver la salida esperada y la entrada del codigo en ciertos casos, a veces no permitia ver los casos de prueba y eso dificultaba un poco la depuracion.;1;0;0;1;0;0;1;1;1;De acuerdo
Si los mensajes dados por UNCode acerca de los errores cometidos permitieron que fueran facilmente corregidos;0;0;0;0;1;1;0;1;0;Totalmente de acuerdo
Si, aunque falta detallar un poco mas el tipo de error que se produce;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Si, con la herramienta Python tutor es facil ver en que parte del codigo esta el error;0;0;0;0;0;1;0;1;0;De acuerdo
Si, debido a que el programa nos muestra la correcta solucion , y con esta uno puede mejorar el programa, sin acomodarlo a las respuestas;0;0;0;1;1;0;0;1;0;Totalmente de acuerdo
Si, en la mayoria de casos las herramientas que posee me ayudaba a retroalimentar errores.;0;0;0;0;1;1;0;1;0;Algo de acuerdo
Si, indicaba la linea.;0;0;0;0;0;0;0;0;1;Totalmente en desacuerdo
Si, la herramienta fue bastante util para ver como se desarrollaba el programa y en que casos no funcionaba.;0;0;0;0;0;1;0;1;0;De acuerdo
Si, porque al dar el resultado automaticamente garantiza que no se exceda el tiempo limite para la entrega de los ejercicios y poder resolver los errores naturalmente;0;0;0;0;1;0;0;1;0;De acuerdo
Si, ya que al presentar algun error se podia ver especificamente que estaba mal.;0;0;0;0;0;0;0;0;1;De acuerdo
Si, ya que es mas facil guiarse sabiendo exactamente donde estan los errores para proceder a corregirlos;0;0;0;0;1;0;0;1;1;De acuerdo
Si, ya que me indica mas o menos lo que podia tener mal;0;0;0;0;0;0;0;0;1;De acuerdo
Si, ya que mostraba la linea en la que fallaba en codigo;0;0;0;0;0;0;0;0;1;De acuerdo
Siempre es bueno saber en que esta fallando el programa para corregirlo.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Sirvio para saber en que casos no servia el codigo.;0;0;0;0;0;0;0;0;1;Algo de acuerdo
Solo saber las respuestas no ayudan a identificar errores minimos que no permiten la ejecucion del programa.;0;1;0;0;0;0;1;0;0;En desacuerdo
Sus ensayos permiten obtener una respuesta cercana a los errores cometidos;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Tanto la vista de salidas a respectivas entradas era muy util, pues no teniamos necesidad de tener un ide, fue muy util en especal el codlens ya que podiamos ver especificamente la forma en la funcionaba nuestro codigo en cada paso por lo que facilitaba el proceso de depuracion;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Tuvimos algunos problemas que se presentaban unicamente en y no en Google Collab o en otros entornos de programacion.;1;0;0;0;0;0;1;0;0;Algo en desacuerdo
UNCode identifica el error pero en muchos casos no se lograba identificar cual era, el programa tampoco dice como se debe solucionar sino solamente en que linea esta el error, lo cual no ayuda a corregir el error;0;1;0;0;0;0;1;0;1;Algo de acuerdo
Ya que cuando algo queda mal, te muestra el error, y con eso te dice cuales pruebas de ensayo te quedaron mal.;0;0;0;0;0;1;0;1;1;De acuerdo
Ya que de esta manera podiamos aprender de nuestros errores y aprender con el fallo para asi corregirlo en un futuro;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
Ya que detecta si el codigo esta bien o mal escrito y esto afectaria al resultado;0;0;0;0;0;1;0;1;1;De acuerdo
Ya que podiamos visualizar que errores especificos poseia nuestro codigo, comparando las salidas.;0;0;0;1;0;0;0;1;0;De acuerdo
a veces no da ningun reporte de error o simplemente dice que esta mal pero no especifica en que parte;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
a veces no funciona;1;0;0;0;0;0;1;0;0;Algo de acuerdo
a veces no mostraba bien los errores o habian entradas muy largas que tenia una limitacion de visualizaicon;0;1;0;0;0;0;1;0;0;Algo de acuerdo
al ver los casos de prueba que estaban mal, se tenia que pensar en que podia haber quedado mal y asi mejorar y aprender de los errores;0;0;0;0;0;1;0;1;1;De acuerdo
ayuda a mejorar el codigo;0;0;0;0;1;0;0;1;0;De acuerdo
daba pistas utiles para corregir mis errores;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
del todo a veces no es muy claro el error, ni siquiera el error esta en la linea de codigo que muestra el corrector;0;1;0;0;0;0;1;0;0;NO CALIFICADO
en la mayoria de casos si nos informaba del error pero en algunos muy especificos no;0;1;0;0;0;0;1;0;1;De acuerdo
en ocasiones los unicos errores eran de formato;0;1;0;0;0;0;1;0;0;Algo de acuerdo
en si daba una guia pero muchas veces uno no tenia ni idea de porque botaba el error;0;1;0;0;0;0;1;0;0;Algo de acuerdo
es de ser requerido descargar y probar de manera autonoma errores, usando metodos para diferenciar nuestro output del requerido, ya que el metodo de mostrarse es un poco precario;1;1;0;0;0;0;1;0;0;Algo en desacuerdo
es una forma facil de identificar los errores y encontrar una mas pronta solucion;0;0;0;0;1;0;0;1;1;De acuerdo
la mayoria de veces son claras las correcciones, algunas veces no;0;1;0;0;0;1;1;1;0;De acuerdo
muchas veces ignoraba partes importantes de codigo las cuales en algunos casos daban fallo en algun punto de respuestas;1;1;0;0;0;0;1;0;0;De acuerdo
no da una retroalimentacion precisa de cual fue el fallo y cuales test hace la plataforma para calificar;0;1;0;0;0;0;1;0;0;En desacuerdo
no los mostraba en todos;1;0;0;0;0;0;1;0;0;En desacuerdo
no se especificaba los posibles errores, solo mostraba los casos de error en la salida;0;1;0;0;0;0;1;0;0;Algo de acuerdo
para errores sintacticos es muy util.;0;0;0;0;1;0;0;1;0;De acuerdo
por que ayudaba a ver errores de logica o sintaxis facilmente;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
por que indicaba la linea exacta del error y el problema en si;0;0;0;0;0;0;0;0;1;De acuerdo
porque aunque los demarca, no es especifico con que esta mal;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
porque el uncode no siempre  decia que estaba mal;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
porque en la mayoria de ocasiones ver en que puntos estaba equivocado me permitio darme una mejor idea de que estaba haciendo mal mi programa.;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
porque mostraba lo que salia mal en nuestro codigo y como debia ser una salida esperada permitiendo identificar los errores;0;0;0;1;0;0;0;1;1;Totalmente de acuerdo
porque permitia inferir donde estaba mal;0;0;0;0;0;1;0;1;0;De acuerdo
porque permitian replantear un codigo , ya fuera por un fallo en un caso o un error de eficiencia.;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
porque sabemos cual es nuestro error;0;0;0;0;0;0;0;0;1;De acuerdo
pues  como tal no me comunicaba cual era mi error, pero es util saber en que casos de prueba funciona mal, para uno mismo solucionar.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
pues la realimentacion es muy escasa;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
si pero deberian implementar que siempre se vea el tiempo que dura el programa en cada submission.;0;0;0;0;0;0;1;0;0;De acuerdo
si, aunque en algunos casos de prueba que eran muchos datos de entrada se tornaba un poco complicado descubir el error, pero en general estuvo bien.;0;1;0;0;0;0;1;0;0;De acuerdo
solo da los dos outputs mas no aclara lo que debe hacerse o incluso llega a ser ilogico que por un espacio todo quede mal;0;1;0;0;0;0;1;0;0;Totalmente en desacuerdo
ubicada donde estaba el error exacto;0;0;0;0;0;0;0;0;1;De acuerdo
una vez entendido el sistema de retroalimentaion, encontrar los errores es sencillo;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
ya que es muy util y concisa, muestra a la perfeccion cual es y donde se encuentra el error;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
